game_id,season,game_type,week,gameday,away_team,away_score,home_team,home_score,home_win,home_completions_ewma,home_passing_yards_ewma,home_passing_tds_ewma,home_rushing_yards_ewma,home_sacks_suffered_ewma,home_rushing_tds_ewma,home_completion_pct_ewma,home_turnovers_offense_ewma,home_turnovers_defense_ewma,home_turnover_margin_ewma,home_def_tackles_for_loss_ewma,home_penalty_yards_ewma,home_fg_pct_ewma,home_pat_pct_ewma,away_completions_ewma,away_passing_yards_ewma,away_passing_tds_ewma,away_rushing_yards_ewma,away_sacks_suffered_ewma,away_rushing_tds_ewma,away_completion_pct_ewma,away_turnovers_offense_ewma,away_turnovers_defense_ewma,away_turnover_margin_ewma,away_def_tackles_for_loss_ewma,away_penalty_yards_ewma,away_fg_pct_ewma,away_pat_pct_ewma
2021_02_MIN_ARI,2021,REG,2,2021-09-19,MIN,33.0,ARI,34.0,1,24.2,333.4,3.6,122.8,2.4000000000000004,1.0,0.7159722222222222,1.4,0.6,-0.8,5.0,51.4,0.7,1.0,31.0,314.8,2.4000000000000004,111.0,2.2,0.6,0.719,0.6,0.8,0.20000000000000007,6.2,76.0,0.8666666666666667,0.9
2021_02_ATL_TB,2021,REG,2,2021-09-19,ATL,25.0,TB,48.0,1,28.8,337.8,4.4,64.0,1.2000000000000002,0.0,0.6506666666666666,2.8,1.8000000000000003,-0.9999999999999999,2.4000000000000004,96.8,1.0,0.9428571428571428,26.599999999999998,218.4,0.8,96.39999999999999,2.2,0.4,0.6516666666666666,1.2000000000000002,0.0,-1.2000000000000002,3.8,79.0,1.0,1.0
2021_02_DAL_LAC,2021,REG,2,2021-09-19,DAL,20.0,LAC,17.0,0,31.0,337.40000000000003,1.0,92.0,2.0,0.6,0.6981837052413077,2.0,0.4,-1.6,2.4000000000000004,96.0,0.9,1.0,34.4,336.6,1.7999999999999998,115.2,1.4,0.8,0.7752234993614304,1.0,2.0,1.0,2.4000000000000004,63.4,0.76,0.7999999999999999
2021_02_TEN_SEA,2021,REG,2,2021-09-19,TEN,33.0,SEA,30.0,0,19.6,289.6,3.2,114.8,3.0,0.8,0.7534361851332398,0.6,0.0,-0.6,3.6,71.8,1.0,0.9,24.0,269.6,0.6,136.4,4.8,1.8000000000000003,0.6366666666666667,2.2,0.6,-1.6,2.4000000000000004,52.199999999999996,0.32000000000000006,0.7
2021_02_KC_BAL,2021,REG,2,2021-09-19,KC,35.0,BAL,36.0,1,18.6,236.6,1.0,213.8,2.2,2.4000000000000004,0.6569230769230769,2.0,1.6,-0.4,3.8,64.6,1.0,1.0,25.8,339.40000000000003,3.0,68.6,1.2,1.0,0.7596774193548387,0.8,1.4,0.6,4.0,40.0,1.0,1.0
2021_02_DET_GB,2021,REG,2,2021-09-20,DET,17.0,GB,35.0,1,20.8,222.6,1.6,64.2,2.4000000000000004,0.4,0.6687830687830688,1.7999999999999998,0.4,-1.4,0.0,39.8,1.0,1.0,33.2,301.2,2.6,112.8,2.2,0.6,0.6888888888888889,1.4,0.0,-1.4,1.8000000000000003,58.2,0.7,1.0
2021_03_CAR_HOU,2021,REG,3,2021-09-23,CAR,24.0,HOU,9.0,0,19.48,226.43999999999997,1.6,94.08,2.2,0.96,0.6494849977608598,0.24,1.96,1.72,2.72,57.120000000000005,0.76,0.6,24.080000000000002,295.24,0.84,108.12,2.04,1.8000000000000003,0.68165590446705,0.6,0.84,0.24,5.68,51.04,0.92,0.74
2021_03_WAS_BUF,2021,REG,3,2021-09-26,WAS,21.0,BUF,43.0,1,28.080000000000002,283.76,2.44,125.24000000000001,1.32,1.12,0.6354010695187166,0.84,1.04,0.20000000000000007,4.96,53.879999999999995,0.76,1.0,18.8,214.04000000000002,1.64,97.44,1.0,0.64,0.6507246376811594,1.8000000000000003,0.36,-1.4400000000000002,3.92,54.92,0.85,1.0
2021_03_CHI_CLE,2021,REG,3,2021-09-26,CHI,6.0,CLE,26.0,1,19.72,265.08,0.64,178.51999999999998,3.2,2.56,0.7323041474654378,1.2,0.48,-0.72,6.04,64.88,1.0,1.0,16.439999999999998,132.8,0.24,96.16,5.4,0.72,0.5309999999999999,0.96,1.12,0.1600000000000001,3.44,47.0,1.0,1.0
2021_03_BAL_DET,2021,REG,3,2021-09-26,BAL,19.0,DET,17.0,0,28.720000000000002,267.52,1.56,104.88,2.12,1.16,0.6972043010752688,0.84,0.4,-0.4399999999999999,3.08,48.92,0.82,1.0,17.560000000000002,256.76,1.0,174.68,2.92,1.4400000000000002,0.600605459057072,1.6,0.96,-0.64,3.88,66.36,0.92,1.0
2021_03_ARI_JAX,2021,REG,3,2021-09-26,ARI,31.0,JAX,19.0,0,22.24,235.44,1.72,108.96,1.8000000000000003,0.4,0.558288770053476,3.16,0.4,-2.7600000000000002,2.88,62.32,0.0,0.7333333333333333,25.72,326.44,2.16,110.08,1.4400000000000002,1.8000000000000003,0.7589950980392157,1.24,1.56,0.32000000000000006,5.0,54.04,0.62,1.0
2021_03_LAC_KC,2021,REG,3,2021-09-26,LAC,30.0,KC,24.0,0,26.28,307.64,3.0,115.56,1.52,0.6,0.7012609970674487,2.08,0.84,-1.2400000000000002,4.4,46.4,1.0,1.0,29.0,314.84000000000003,2.2,86.0,1.6,0.36,0.6925944336711004,1.2,1.04,-0.15999999999999998,2.64,77.6,0.9400000000000001,0.6491228070175438
2021_03_NO_NE,2021,REG,3,2021-09-26,NO,28.0,NE,13.0,0,27.72,253.79999999999998,0.76,88.84,1.8800000000000001,0.48,0.6789864253393665,1.9200000000000002,1.32,-0.6000000000000002,4.48,55.199999999999996,1.0,0.88,13.24,132.2,2.6,129.88,2.16,0.64,0.6247619047619047,0.48,2.16,1.6800000000000002,4.4,46.559999999999995,0.47368421052631576,1.0
